season,team,season_type,games,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance_list
2022,ARI,REG,17,433,664,3966,17,17,46,-340,4,2,4604,2058,189,-87.3105559068445,-1.71156366744379,3,434,1873,15,10,4,126,-10.3857015134629,2,433,635,3966,17,4,1,4604,2058,189,11.8849677307666,3,0,618,128,402,71,331,12,36,266,106,11,246,77,3,1,0,0,14,19,9,9,2,118,916,82,35,289,31,686,28,32,4,0,57,0.875,0,4,11,7,6,0,0,0,0,3,1,0,23;43;49;31;33;39;20;23;50;28;44;34;36;46;40;43;33;32;45;50;55;56;53;39;38;36;36;57,43;49;50;43,,1112,185,0,24,27,3,0,0.888888888888889,0,0,0,0,
2022,ATL,REG,17,257,415,2927,17,9,37,-228,4,2,4033,1240,148,12.6968331674054,-0.831748425960541,2,559,2718,17,8,4,160,10.6634646507389,1,257,400,2927,17,4,4,4033,1240,148,59.4326434290353,2,2,567,108,524,48,233,8,21,148,69,10,124,69,1,3,1,27,9,11,7,7,1,68,594,65,18,292,28,634,32,37,4,1,54,0.864864864864865,0,9,7,9,7,0,0,0,0,1,3,0,54;50;40;27;26;41;54;30;21;45;43;30;34;41;29;33;40;53;47;48;50;51;28;28;32;34;37;27;21;49;24;51,44;52;50;58,63,1218,204,63,33,35,1,1,0.942857142857143,2,3,0,1,63;41;21
2022,BAL,REG,17,300,488,3202,19,13,38,-162,2,2,4014,1366,152,-17.1981070885118,-1.69501788914204,1,526,2720,14,9,3,172,32.7137509050562,1,300,465,3202,19,6,3,4014,1370,152,35.4314666890892,1,1,625,93,359,68,315,14,48,305,95,14,105,77,0,1,0,0,10,13,11,11,0,82,678,65,20,214,27,659,37,43,3,3,58,0.86046511627907,0,13,11,4,9,0,0,0,0,1,1,1,24;51;56;42;51;37;58;25;43;34;23;32;34;55;22;30;32;41;32;37;27;29;55;24;26;42;35;30;53;21;27;21;30;51;26;51;27,56;67;48,61;50;55,1334,171,166,31,32,1,0,0.96875,1,2,1,0,43;67
2022,BUF,REG,16,361,574,4291,35,14,33,-162,6,3,5286,1593,212,95.936151932449,0.498752239178832,1,430,2232,15,12,7,136,12.3838238066957,1,361,551,4291,35,3,2,5286,1593,212,152.207379171511,1,2,593,119,323,80,357,11,40,288,98,17,165,90,1,3,2,0,11,15,10,10,0,92,709,62,29,276,36,908,27,31,2,2,56,0.870967741935484,0,4,11,10,2,0,0,0,1,0,1,0,41;49;37;30;38;39;21;35;39;42;38;51;34;45;29;42;36;56;49;28;39;47;45;48;38;49;25,55;38,38;49,1070,93,87,48,50,2,0,0.96,3,3,0,0,21;45;25
2022,CAR,REG,17,267,457,3246,16,13,36,-250,2,1,3321,1734,138,-41.7987028833622,-4.86488494786502,0,483,2210,16,9,2,125,7.88542726175559,1,267,427,3246,16,4,2,3321,1734,138,28.7520844302509,0,0,652,81,435,74,329,9,35,230,91,10,189,62,2,8,0,1,19,23,7,7,2,104,862,63,34,216,31,747,33,35,2,0,54,0.942857142857143,0,2,16,13,2,0,0,0,1,1,0,0,34;31;32;38;45;48;34;54;43;37;34;42;37;42;46;49;40;37;32;42;26;36;47;32;39;29;32;52;37;40;36;49;42,41;32,,1294,73,0,30,32,2,0,0.9375,1,1,0,0,42
2022,CHI,REG,17,223,377,2598,19,15,58,-379,7,2,3426,1150,110,-85.2635899755954,-3.68155419079374,1,558,3014,18,10,2,162,50.4023410381722,0,223,359,2598,19,6,4,3426,1150,110,5.24539335499725,1,0,622,125,383,50,194,14,20,124,43,14,201,50,0,3,0,0,20,30,9,9,0,80,754,67,23,198,38,996,25,27,1,1,51,0.925925925925926,0,6,8,7,4,0,0,0,0,0,1,0,44;47;50;30;29;22;40;35;50;43;51;42;23;38;50;36;32;33;41;22;40;28;37;35;23,56,40,921,56,40,27,32,5,0,0.84375,1,1,0,0,30
2022,CIN,REG,16,418,610,4520,35,12,44,-280,6,3,4173,2149,221,87.5260579304808,2.94266345876235,3,399,1528,14,0,0,97,-20.4735042524101,0,418,594,4520,35,2,2,4173,2147,221,173.343796904194,3,0,555,94,396,47,165,14,30,163,102,13,133,75,0,4,0,0,4,4,11,11,1,81,623,67,33,340,29,596,24,29,5,0,59,0.827586206896552,1,5,4,9,5,0,0,1,0,4,0,0,59;26;43;50;46;22;43;19;57;40;52;45;54;44;47;38;36;41;30;41;21;28;34;26,29;41;47;48;43,,942,208,0,40,44,3,1,0.909090909090909,0,0,0,0,
2022,CLE,REG,17,335,540,3710,19,12,44,-266,5,3,4453,1593,182,-10.1255221653351,0.897532916045518,0,532,2490,19,4,2,147,24.5211461591481,1,335,507,3710,19,3,3,4453,1593,182,71.337757793206,0,1,575,102,404,59,245,11,34,211,66,11,57,85,1,2,0,0,5,6,9,9,2,102,865,71,31,298,41,943,24,32,5,3,58,0.75,0,5,9,6,4,0,0,0,2,2,1,0,26;34;36;58;22;34;29;45;39;48;51;41;37;55;37;32;51;43;42;26;47;23;30;37,45;54;39;38;46,60;53;34,923,222,147,35,37,2,0,0.945945945945946,1,2,1,0,58;54
2022,DAL,REG,17,355,556,3911,28,18,27,-175,4,0,4470,1667,194,31.7362684822161,-1.95872838890881,0,531,2298,24,2,1,132,-12.1185394438654,0,355,545,3911,28,2,2,4470,1667,194,72.9040571121702,0,0,692,69,365,77,368,22,54,352,110,16,60,59,0,5,0,14,8,10,17,17,3,104,842,51,29,303,22,526,29,32,3,0,60,0.90625,0,9,5,6,8,1,0,0,0,1,2,0,51;54;50;26;28;44;53;45;28;29;33;40;36;30;22;27;53;60;50;33;53;24;53;21;44;48;26;36;45,59;59;46,,1142,164,0,50,53,1,2,0.943396226415094,1,1,0,0,50
2022,DEN,REG,17,345,571,4007,18,15,63,-415,5,3,4998,1987,166,-86.1728577916803,-1.57004371974032,0,444,1935,11,9,3,116,-37.2833336071245,1,345,541,4007,18,1,0,4998,1987,166,47.4748617468824,0,0,599,115,447,56,257,16,36,245,81,15,89,67,0,8,1,0,16,20,8,8,0,113,970,74,37,308,24,420,28,36,6,2,55,0.777777777777778,0,6,4,10,8,0,0,0,1,0,3,2,30;40;26;20;24;50;55;28;33;44;45;51;27;48;44;39;48;52;48;27;52;41;50;52;54;49;49;33,64;53;56;56;63;38,34;25,1159,330,59,25,27,2,0,0.925925925925926,0,2,2,0,64;63
