game_id,season,week,home_team,away_team,total_line,gameday,weekday,gametime,location,div_game,roof,surface,temp,wind,home_offense_strength_entering,home_defense_strength_entering,home_avg_passing_epa_entering,home_avg_rushing_epa_entering,home_avg_turnovers_entering,home_avg_def_passing_epa_allowed_entering,home_avg_def_rushing_epa_allowed_entering,away_offense_strength_entering,away_defense_strength_entering,away_avg_passing_epa_entering,away_avg_rushing_epa_entering,away_avg_turnovers_entering,away_avg_def_passing_epa_allowed_entering,away_avg_def_rushing_epa_allowed_entering,home_vam_lost,away_vam_lost,home_offense_strength_entering_prior,home_defense_strength_entering_prior,home_avg_passing_epa_entering_prior,home_avg_rushing_epa_entering_prior,home_avg_turnovers_entering_prior,home_avg_def_passing_epa_allowed_entering_prior,home_avg_def_rushing_epa_allowed_entering_prior,away_offense_strength_entering_prior,away_defense_strength_entering_prior,away_avg_passing_epa_entering_prior,away_avg_rushing_epa_entering_prior,away_avg_turnovers_entering_prior,away_avg_def_passing_epa_allowed_entering_prior,away_avg_def_rushing_epa_allowed_entering_prior,alpha,home_offense_strength_entering_blended,home_defense_strength_entering_blended,home_avg_passing_epa_entering_blended,home_avg_rushing_epa_entering_blended,home_avg_turnovers_entering_blended,home_avg_def_passing_epa_allowed_entering_blended,home_avg_def_rushing_epa_allowed_entering_blended,away_offense_strength_entering_blended,away_defense_strength_entering_blended,away_avg_passing_epa_entering_blended,away_avg_rushing_epa_entering_blended,away_avg_turnovers_entering_blended,away_avg_def_passing_epa_allowed_entering_blended,away_avg_def_rushing_epa_allowed_entering_blended,home_net_rating,away_net_rating,delta_net_rating,home_matchup_adv,away_matchup_adv,delta_vam_lost,home_cover,home_line
2021_01_DAL_TB,2021,1,TB,DAL,52.5,2021-09-09,Thursday,20:20,Home,0,outdoors,grass ,82.0,9.0,0.0,0.0,,,,,,0.0,0.0,,,,,,12.0,0.0,6.904763750132494,-2.5106594411441168,8.595675419855624,-1.69091166972313,1.0526315789473684,-0.1597232875521109,-2.3509361535920057,-1.6306079898585768,4.721923718974944,-0.2560975475221865,-1.3745104423363903,1.6666666666666667,3.4814026595483285,1.2405210594266156,0.0,6.904763750132494,-2.5106594411441168,8.595675419855624,-1.69091166972313,1.0526315789473684,-0.1597232875521109,-2.3509361535920057,-1.6306079898585768,4.721923718974944,-0.2560975475221865,-1.3745104423363903,1.6666666666666667,3.4814026595483285,1.2405210594266156,9.415423191276613,-6.352531708833521,15.767954900110132,2.18284003115755,0.88005145128554,12.0,0,-10.0
2021_01_PHI_ATL,2021,1,ATL,PHI,49.0,2021-09-12,Sunday,13:00,Home,0,open,fieldturf,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,3.0,1.264745878100932,2.572936976763271,3.8130255224392,-2.5482796443382676,1.0666666666666669,5.304874618929884,-2.731937642166613,-5.493836246291924,1.7577463573537992,-5.045025266472019,-0.4488109798199041,1.7333333333333334,3.2728408271190896,-1.5150944697652904,0.0,1.264745878100932,2.572936976763271,3.8130255224392,-2.5482796443382676,1.0666666666666669,5.304874618929884,-2.731937642166613,-5.493836246291924,1.7577463573537992,-5.045025266472019,-0.4488109798199041,1.7333333333333334,3.2728408271190896,-1.5150944697652904,-1.308191098662339,-7.251582603645723,5.943391504983383,-0.4930004792528673,-8.066773223055195,-3.0,0,-3.5
2021_01_PIT_BUF,2021,1,BUF,PIT,48.0,2021-09-12,Sunday,13:00,Home,0,outdoors,a_turf,73.0,17.0,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,8.913309277948189,1.5090000612856307,10.350015626220133,-1.436706348271943,1.1111111111111112,0.94577563647184,0.5632244248137908,0.1251908061833688,-6.839982707958559,3.871559267240089,-3.74636846105672,1.0,-4.958689773368818,-1.881292934589741,0.0,8.913309277948189,1.5090000612856307,10.350015626220133,-1.436706348271943,1.1111111111111112,0.94577563647184,0.5632244248137908,0.1251908061833688,-6.839982707958559,3.871559267240089,-3.74636846105672,1.0,-4.958689773368818,-1.881292934589741,7.404309216662558,6.965173514141928,0.4391357025206295,15.753291985906747,-1.3838092551022618,0.0,0,-6.5
2021_01_NYJ_CAR,2021,1,CAR,NYJ,44.5,2021-09-12,Sunday,13:00,Home,0,outdoors,grass ,81.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,1.8803069371670589,4.473646814226964,2.4384110394073866,-0.5581041022403277,1.0666666666666669,4.057145555201659,0.4165012590253041,-8.596420637920545,4.1844868403330455,-5.580075305175098,-3.0163453327454466,1.1333333333333333,7.958313394763191,-3.773826554430146,0.0,1.8803069371670589,4.473646814226964,2.4384110394073866,-0.5581041022403277,1.0666666666666669,4.057145555201659,0.4165012590253041,-8.596420637920545,4.1844868403330455,-5.580075305175098,-3.0163453327454466,1.1333333333333333,7.958313394763191,-3.773826554430146,-2.593339877059905,-12.78090747825359,10.187567601193685,-2.304179903165987,-13.070067452147509,0.0,1,-3.5
2021_01_MIN_CIN,2021,1,CIN,MIN,47.0,2021-09-12,Sunday,13:00,Home,0,outdoors,fieldturf,81.0,15.0,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,-0.5225903813738615,5.035405873658263,2.6584219995980094,-3.181012380971871,1.4,5.11591457315718,-0.0805086994989166,5.514583437464722,5.037109358850232,4.959021620529555,0.5555618169351679,1.4666666666666666,5.096433476194641,-0.0593241173444091,0.0,-0.5225903813738615,5.035405873658263,2.6584219995980094,-3.181012380971871,1.4,5.11591457315718,-0.0805086994989166,5.514583437464722,5.037109358850232,4.959021620529555,0.5555618169351679,1.4666666666666666,5.096433476194641,-0.0593241173444091,-5.5579962550321245,0.47747407861449,-6.0354703336466144,-5.559699740224094,0.4791775638064592,0.0,1,3.0
2021_01_SF_DET,2021,1,DET,SF,46.0,2021-09-12,Sunday,13:00,Home,0,dome,fieldturf,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,9.0,-1.5673891010932233,11.987911911663655,1.5183284438173497,-3.085717544910573,1.2,10.663442038069428,1.3244698735942309,0.3884421557017508,-2.074068802091232,1.9742261578132296,-1.5857840021114789,1.7333333333333334,0.0916444726496967,-2.165713274740929,0.0,-1.5673891010932233,11.987911911663655,1.5183284438173497,-3.085717544910573,1.2,10.663442038069428,1.3244698735942309,0.3884421557017508,-2.074068802091232,1.9742261578132296,-1.5857840021114789,1.7333333333333334,0.0916444726496967,-2.165713274740929,-13.555301012756878,2.4625109577929827,-16.01781197054986,0.5066797009980089,-11.599469755961904,-9.0,1,9.5
2021_01_JAX_HOU,2021,1,HOU,JAX,45.5,2021-09-12,Sunday,13:00,Home,1,closed,astroturf,,,0.0,0.0,,,,,,0.0,0.0,,,,,,145.9881439601105,2.0,6.006203560261102,9.639035862343794,7.821074665964162,-1.8148711057030604,1.0,8.731312475167925,0.9077233871758698,-2.518186346942608,9.553831825044952,-1.9863843895967817,-0.5318019573458265,1.5333333333333334,9.269826253106867,0.284005571938083,0.0,6.006203560261102,9.639035862343794,7.821074665964162,-1.8148711057030604,1.0,8.731312475167925,0.9077233871758698,-2.518186346942608,9.553831825044952,-1.9863843895967817,-0.5318019573458265,1.5333333333333334,9.269826253106867,0.284005571938083,-3.6328323020826927,-12.07201817198756,8.439185869904868,-3.5476282647838504,-12.157222209286402,143.9881439601105,1,3.5
2021_01_SEA_IND,2021,1,IND,SEA,49.0,2021-09-12,Sunday,13:00,Home,0,closed,fieldturf,,,0.0,0.0,,,,,,0.0,0.0,,,,,,8.904668471921468,0.0,4.816342997253129,-1.207485329924844,5.96558019005981,-1.149237192806681,0.9375,0.5874743901833305,-1.7949597201081744,5.465532906693301,2.8122332589789627,4.938521632112373,0.5270112745809289,1.125,5.304477561371109,-2.4922443023921463,0.0,4.816342997253129,-1.207485329924844,5.96558019005981,-1.149237192806681,0.9375,0.5874743901833305,-1.7949597201081744,5.465532906693301,2.8122332589789627,4.938521632112373,0.5270112745809289,1.125,5.304477561371109,-2.4922443023921463,6.023828327177973,2.6532996477143387,3.370528679463634,2.004109738274166,6.673018236618145,8.904668471921468,0,3.0
2021_01_ARI_TEN,2021,1,TEN,ARI,54.0,2021-09-12,Sunday,13:00,Home,0,outdoors,grass ,82.0,8.0,0.0,0.0,,,,,,0.0,0.0,,,,,,2.0,14.0,10.780427853038164,8.789716411031725,7.779570518564445,3.0008573344737193,0.75,8.609040078870393,0.1806763321613319,4.449073166557518,1.1263362724396466,2.2076459538100286,2.2414272127474892,1.3333333333333333,1.4155537671048923,-0.2892174946652457,0.0,10.780427853038164,8.789716411031725,7.779570518564445,3.0008573344737193,0.75,8.609040078870393,0.1806763321613319,4.449073166557518,1.1263362724396466,2.2076459538100286,2.2414272127474892,1.3333333333333333,1.4155537671048923,-0.2892174946652457,1.9907114420064396,3.3227368941178717,-1.332025452111432,9.654091580598518,-4.340643244474206,-12.0,0,-2.5
2021_01_LAC_WAS,2021,1,WAS,LAC,45.5,2021-09-12,Sunday,13:00,Home,0,outdoors,grass ,81.0,4.0,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,-4.1502413763552894,-6.13822265575439,-3.9834410693469815,-0.1668003070083082,1.5,-4.253920221012031,-1.884302434742359,0.8901663340188031,0.6483880278368854,4.594015255749508,-3.703848921730706,1.0,2.2386724281517956,-1.59028440031491,0.0,-4.1502413763552894,-6.13822265575439,-3.9834410693469815,-0.1668003070083082,1.5,-4.253920221012031,-1.884302434742359,0.8901663340188031,0.6483880278368854,4.594015255749508,-3.703848921730706,1.0,2.2386724281517956,-1.59028440031491,1.9879812793991007,0.2417783061819176,1.746202973217183,-4.798629404192175,7.028388989773193,0.0,0,-2.5
